tokenName	type	rarity	author	mediaType	name	src	image	name	title	url	collection	imageMediaType	totalSupply
HYPESKULLS_VT_R_C	Radiation	Common	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR RADIATION COMMON			HYPESKULLS VAPOR RADIATION COMMON	VAPOR v1 [[[COMMON]]]	http://seehype.com	HYPESKULLS VAPOR v1	image/gif	240
HYPESKULLS_VT_R_EE	Radiation	Elite	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR RADIATION ELITE			HYPESKULLS VAPOR RADIATION ELITE	VAPOR v1 [[[ELITE]]]	http://seehype.com	HYPESKULLS VAPOR v1	image/gif	86
HYPESKULLS_VT_R_E	Radiation	Epic	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR RADIATION EPIC			HYPESKULLS VAPOR RADIATION EPIC	VAPOR v1 [[[EPIC]]]	http://seehype.com	HYPESKULLS VAPOR v1	image/gif	121
HYPESKULLS_VT_AD_C	Adrenaline	Common	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR ADRENALINE COMMON			HYPESKULLS VAPOR ADRENALINE COMMON	VAPOR v1 [[[COMMON]]]	http://seehype.com	HYPESKULLS VAPOR v1	image/gif	226
HYPESKULLS_VT_AD_EE	Adrenaline	Elite	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR ADRENALINE ELITE			HYPESKULLS VAPOR ADRENALINE ELITE	VAPOR v1 [[[ELITE]]]	http://seehype.com	HYPESKULLS VAPOR v1	image/gif	73
HYPESKULLS_VT_AD_E	Adrenaline	Epic	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR ADRENALINE EPIC			HYPESKULLS VAPOR ADRENALINE EPIC	VAPOR v1 [[[EPIC]]]	http://seehype.com	HYPESKULLS VAPOR v1	image/gif	112
HYPESKULLS_VT_G_C	Graphite	Common	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR GRAPHITE COMMON			HYPESKULLS VAPOR GRAPHITE COMMON	VAPOR v1 [[[COMMON]]]	http://seehype.com	HYPESKULLS VAPOR v1	image/gif	207
HYPESKULLS_VT_G_EE	Graphite	Elite	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR GRAPHITE ELITE			HYPESKULLS VAPOR GRAPHITE ELITE	VAPOR v1 [[[ELITE]]]	http://seehype.com	HYPESKULLS VAPOR v1	image/gif	61
HYPESKULLS_VT_G_E	Graphite	Epic	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR GRAPHITE EPIC			HYPESKULLS VAPOR GRAPHITE EPIC	VAPOR v1 [[[EPIC]]]	http://seehype.com	HYPESKULLS VAPOR v1	image/gif	104
HYPESKULLS_VT_N_C	Nitro	Common	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR NITRO COMMON			HYPESKULLS VAPOR NITRO COMMON	VAPOR v1 [[[COMMON]]]	http://seehype.com	HYPESKULLS VAPOR v1	image/gif	193
HYPESKULLS_VT_N_EE	Nitro	Elite	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR NITRO ELITE			HYPESKULLS VAPOR NITRO ELITE	VAPOR v1 [[[ELITE]]]	http://seehype.com	HYPESKULLS VAPOR v1	image/gif	51
HYPESKULLS_VT_N_E	Nitro	Epic	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR NITRO EPIC			HYPESKULLS VAPOR NITRO EPIC	VAPOR v1 [[[EPIC]]]	http://seehype.com	HYPESKULLS VAPOR v1	image/gif	96
HYPESKULLS_VT_V_C	Venom	Common	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR VENOM COMMON			HYPESKULLS VAPOR VENOM COMMON	VAPOR v1 [[[COMMON]]]	http://seehype.com	HYPESKULLS VAPOR v1	image/gif	178
HYPESKULLS_VT_V_EE	Venom	Elite	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR VENOM ELITE			HYPESKULLS VAPOR VENOM ELITE	VAPOR v1 [[[ELITE]]]	http://seehype.com	HYPESKULLS VAPOR v1	image/gif	44
HYPESKULLS_VT_V_E	Venom	Epic	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR VENOM EPIC			HYPESKULLS VAPOR VENOM EPIC	VAPOR v1 [[[EPIC]]]	http://seehype.com	HYPESKULLS VAPOR v1	image/gif	89
HYPESKULLS_VT_K_C	Kerosene	Common	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR KEROSENE COMMON			HYPESKULLS VAPOR KEROSENE COMMON	VAPOR v1 [[[COMMON]]]	http://seehype.com	HYPESKULLS VAPOR v1	image/gif	160
