token_name	vapor_type	vapor_rarity	author	mediaType	name	src	image	name	title	url	total_supply
HYPESKULLS_VT_R_C	Radiation	Common	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR RADIATION COMMON	ipfs://QmPGdsvY9zG6JeHYqGHSJEQrxqP9Qk6J4WA3jXVYT7zpAY,ipfs://QmP2kAgKyZNnS366U2afybbVqCQSVN1tbc4hFQXHgUCgLU	ipfs://QmPH6CCwHDPN7XzXTniuvtETV5EEfN9Vjo3xB2BuHDXif8	HYPESKULLS VAPOR RADIATION COMMON	VAPOR v1 [[[COMMON]]]	http://seehype.com	240
HYPESKULLS_VT_R_EE	Radiation	Elite	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR RADIATION ELITE	ipfs://QmPrUP1dLwG1GLtgyV2MD63cbh24RDbqFLvXnk8dgZVZNb,ipfs://QmRuTdqWzhJkAHG2LwZ8Db1F7BYJVjhnZ3S6tqRHVpm7qR	ipfs://QmdDK2odUaka23BSh1V39KUiRQ3vKXmMXfVsNE5m48q4KQ	HYPESKULLS VAPOR RADIATION ELITE	VAPOR v1 [[[ELITE]]]	http://seehype.com	86
HYPESKULLS_VT_R_E	Radiation	Epic	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR RADIATION EPIC	ipfs://QmNnx1noDzSbeRo1pmZgUT2usi3XAgUFTuLnHA84Jv4T3g,ipfs://QmeMuR1Kk48nE9kcwJPSma67nCPbkTTPFxdBH93VTaxhEY	ipfs://QmRCccmAQQLXTE1fBeZbvp2hMouLLbMCiEB9qgNQnoHL1J	HYPESKULLS VAPOR RADIATION EPIC	VAPOR v1 [[[EPIC]]]	http://seehype.com	121
HYPESKULLS_VT_AD_C	Adrenaline	Common	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR ADRENALINE COMMON	ipfs://QmdWuMWw7Ce6k7j8E3xtB39jtxWUCk2oyVieJ2PzKZFtE8,ipfs://QmUQLhCP2k7v1w2FP2a6nwB2zbQYMrtCNhUyqdtfBhAnzU	ipfs://QmX7QS7mTc9REKEfQkmQB2dc8zW6niKgjdMnpqsYiEBChs	HYPESKULLS VAPOR ADRENALINE COMMON	VAPOR v1 [[[COMMON]]]	http://seehype.com	226
HYPESKULLS_VT_AD_EE	Adrenaline	Elite	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR ADRENALINE ELITE	ipfs://QmeudapPgxEL3pkVbMS4geDpDZKzQfAsFCzSdNbkrwhVuS,ipfs://QmRgZ8fvdDJ3D9EF8t238mkx2TruHzhyebBYqoRLSkqnu2	ipfs://QmRMTZwwKzkTWGex9KTHKMmyHHjuapFu3HNzHtrN6WQidZ	HYPESKULLS VAPOR ADRENALINE ELITE	VAPOR v1 [[[ELITE]]]	http://seehype.com	73
HYPESKULLS_VT_AD_E	Adrenaline	Epic	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR ADRENALINE EPIC	ipfs://Qmf34Z6TxFVJr4W8w6r4eLyR3gq8YmmJtKm5anBeADdaDu,ipfs://QmUbDJAo364NzZR2AFXAMraFEnGGKeHzT7BeRyA9xJduar	ipfs://Qmek19UnptYzEbX8zwoW3nTh3KvCpMoyoHcWUhAEUijiVn	HYPESKULLS VAPOR ADRENALINE EPIC	VAPOR v1 [[[EPIC]]]	http://seehype.com	112
HYPESKULLS_VT_G_C	Graphite	Common	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR GRAPHITE COMMON	ipfs://QmRTAZkzziV3PPR2Hhzd8rBHyWwoCc1QysvhhUKHWNuEXR,ipfs://QmTWVDjuCxM2B6NZFG3eUSiAqyDWS6dqnzhd9NNsbthRh2	ipfs://QmeUBJjYREXvWSrnDtiDas89xPA7xq8r4ouPmxfNdYnusF	HYPESKULLS VAPOR GRAPHITE COMMON	VAPOR v1 [[[COMMON]]]	http://seehype.com	207
HYPESKULLS_VT_G_EE	Graphite	Elite	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR GRAPHITE ELITE	ipfs://QmRkJmBE5Qp2W5UkAcE2a8Vai7UVHEKp8grxGxrpPZWd8T,ipfs://QmXzN3sW2Wp6ApArjWqxwu5wFQE6yArQdw27b2CAqRjdo4	ipfs://QmRXdaxMFL5wUKWtsGf759rqjkUfyatMvy9R96jRccVVdV	HYPESKULLS VAPOR GRAPHITE ELITE	VAPOR v1 [[[ELITE]]]	http://seehype.com	61
HYPESKULLS_VT_G_E	Graphite	Epic	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR GRAPHITE EPIC	ipfs://QmfYJ49fuVyZLKZfArhvJ7AcBZvCRLagXjQi91HRT2q2Ny,ipfs://Qmb8cRsBjcM2sztUu6xnk5mEHk9fuQSfTZf1qXiJzcnnMa	ipfs://QmbG55nnsdyfBLtUhTUXsacb6c4PZjYTnvCov6AVdTE6YZ	HYPESKULLS VAPOR GRAPHITE EPIC	VAPOR v1 [[[EPIC]]]	http://seehype.com	104
HYPESKULLS_VT_N_C	Nitro	Common	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR NITRO COMMON	ipfs://QmRvp5RrHb61tZeotTyxpd5BDEUuaoRDocruxmpYgNzWJq,ipfs://QmTCwu55EEYn2GuUMTM9HyNjyVFfG4BNQuQYWQh5cDdw5z	ipfs://QmX8GTxQwB87Jb61Rtn6azoVonHHnTBfF8Qz75fGxhxn7Z	HYPESKULLS VAPOR NITRO COMMON	VAPOR v1 [[[COMMON]]]	http://seehype.com	193
HYPESKULLS_VT_N_EE	Nitro	Elite	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR NITRO ELITE	ipfs://Qmab2wCbraAM4Rdv5BCNTFn5ZAWHf114rVKSdz7ZDmbmE7,ipfs://QmZjbBhLVg4Ed6Xyf4au5G3RfN3ohKs5yK5Ru5p1DuHHNL	ipfs://QmRnGS9KJ3N4jof58AbYtYpBECjtVf8FKGTQYbEvsX5cRL	HYPESKULLS VAPOR NITRO ELITE	VAPOR v1 [[[ELITE]]]	http://seehype.com	51
HYPESKULLS_VT_N_E	Nitro	Epic	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR NITRO EPIC	ipfs://QmbHALiU6H8NnSvH83KhLAMuXLdDmM2xFGbWNYqDBLKCSH,ipfs://QmYWa9HPoTvUZHW6u6wKXkbYgQxUx8H36uGq9naGRnsyUL	ipfs://QmYERsbRqaosgjPbtSdx2LNpD9nxjig5sazY4fhUFfXKVh	HYPESKULLS VAPOR NITRO EPIC	VAPOR v1 [[[EPIC]]]	http://seehype.com	96
HYPESKULLS_VT_V_C	Venom	Common	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR VENOM COMMON	ipfs://QmdqCZCK31149nmm8Mp7tVM2nx8dTF9wV5XpHCQeroCe3V,ipfs://QmeCn2xy2t5JTYBEpZR9AzFExYp3sf4Dc5M3zw25jadJQ8	ipfs://QmaiicBN3TGQ65jM9HkNiPGYQMBapNTd6hAUwcCDnR4Vyw	HYPESKULLS VAPOR VENOM COMMON	VAPOR v1 [[[COMMON]]]	http://seehype.com	178
HYPESKULLS_VT_V_EE	Venom	Elite	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR VENOM ELITE	ipfs://Qmbh9sUYGtQhLj5pzsFu65b6H2GevBQ5vDcLynX5NP75Fk,ipfs://QmfK7V4PJKVF5yeCkGnv1z1dbziCXKVbeEJEek2MwTZbZN	ipfs://QmZ7PFzhqqnq7Ut5p7XQRhBWrpckFKQteLRUUxZqXCBbpp	HYPESKULLS VAPOR VENOM ELITE	VAPOR v1 [[[ELITE]]]	http://seehype.com	44
HYPESKULLS_VT_V_E	Venom	Epic	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR VENOM EPIC	ipfs://Qmdz6KNry1AskQXSscjN2G64KuDzwjLFRo1A6Pcre16YYc,ipfs://QmPaHDNY7pfecfwps9sSwkXT9Lo6eno6yKhzmY8dtZioED	ipfs://QmY73A6oMrASgkR8hFYnBSWWc8jbZEAwLyNK688GwuhwHV	HYPESKULLS VAPOR VENOM EPIC	VAPOR v1 [[[EPIC]]]	http://seehype.com	89
HYPESKULLS_VT_K_C	Kerosene	Common	H.Y.P.E.	video/mp4,video/webm	HYPESKULLS VAPOR KEROSENE COMMON	ipfs://QmWc3AWwYRE23zvfNEFTRA5t2x5EmNb8AxnD9sHnAD8LEN,ipfs://QmTC9BnLstWqrc2yYJLq2v1JPgMtq1UDEudU3u4Rxb6Ei1	ipfs://Qmb4U6aaV4xtE6nPPpvhmP11zxKWJyAftR65fDxXUs2aoB	HYPESKULLS VAPOR KEROSENE COMMON	VAPOR v1 [[[COMMON]]]	http://seehype.com	160
